,2P,2P.1,2PA,3P,3P.1,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,player_year,Player,Age,Tm,PER,TS%,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,Signed,Dollars_Per_year
2160,3.7,0.436,8.6,0.7,0.27699999999999997,2.4,2.9,0.2,2.2,4.4,0.401,11.0,3.5,0.882,4.0,55,11,27.7,0.6,1.7,13.0,0.7,2.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Jerry Stackhouse2006,Jerry Stackhouse,31,DAL,14.5,0.511,0.21600000000000003,0.36700000000000005,1.2,1.2,2.4,0.076,0.2,-1.6,-1.4,0.2,2006,2007,7000000.0
2161,3.3,0.44299999999999995,7.3,0.9,0.38299999999999995,2.4,2.8,0.1,1.6,4.2,0.428,9.8,2.7,0.847,3.2,67,8,24.1,0.6,1.2,12.0,0.8,1.7,2.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Jerry Stackhouse2007,Jerry Stackhouse,32,DAL,16.8,0.537,0.248,0.32899999999999996,2.3,1.8,4.1,0.122,1.2,-0.9,0.3,1.0,2007,2007,7000000.0
155,0.8,0.426,1.9,0.1,0.231,0.4,0.3,0.2,0.9,0.9,0.38799999999999996,2.3,0.3,0.833,0.4,29,0,6.0,0.4,1.2,2.2,0.2,0.4,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Andray Blatche2006,Andray Blatche,19,WAS,10.1,0.45,0.19399999999999998,0.179,-0.1,0.2,0.1,0.026000000000000002,-3.6,-0.4,-4.0,-0.1,2006,2007,4110350.4
156,1.5,0.48200000000000004,3.0,0.1,0.14800000000000002,0.5,0.7,0.6,2.0,1.5,0.43700000000000006,3.5,0.5,0.612,0.9,56,13,12.2,1.4,1.7,3.7,0.3,0.9,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Andray Blatche2007,Andray Blatche,20,WAS,12.1,0.47100000000000003,0.13699999999999998,0.249,-0.1,0.5,0.5,0.033,-2.4,0.3,-2.1,0.0,2007,2007,4110350.4
3915,1.4,0.455,3.0,0.5,0.385,1.2,0.8,0.1,0.9,1.8,0.435,4.2,0.7,0.688,1.0,65,9,13.3,0.2,1.9,4.8,0.4,0.7,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sasha Pavlovic2005,Sasha Pavlovic,21,CLE,9.0,0.516,0.28300000000000003,0.23199999999999998,0.2,0.6,0.8,0.046,-2.1,-2.0,-4.0,-0.4,2005,2007,4500000.0
3916,1.0,0.44799999999999995,2.2,0.7,0.365,1.8,0.5,0.1,1.2,1.6,0.41,4.0,0.6,0.653,0.9,53,19,15.3,0.3,1.9,4.5,0.4,0.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sasha Pavlovic2006,Sasha Pavlovic,22,CLE,6.9,0.516,0.45299999999999996,0.231,-0.1,0.6,0.5,0.03,-2.4,-1.1,-3.5,-0.3,2006,2007,4500000.0
3917,2.4,0.474,5.1,0.9,0.405,2.2,1.6,0.3,2.0,3.3,0.45299999999999996,7.3,1.5,0.794,1.9,67,28,22.9,0.3,2.2,9.0,0.8,1.5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sasha Pavlovic2007,Sasha Pavlovic,23,CLE,12.1,0.5539999999999999,0.302,0.257,0.8,2.3,3.1,0.098,-1.3,0.6,-0.7,0.5,2007,2007,4500000.0
4121,0.6,0.26899999999999996,2.1,0.8,0.387,2.1,1.6,0.0,1.2,1.4,0.32799999999999996,4.2,0.8,0.805,0.9,44,1,14.7,0.4,1.1,4.3,0.3,0.9,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Steve Blake2005,Steve Blake,24,WAS,8.4,0.46799999999999997,0.5,0.22,0.0,0.2,0.3,0.02,-2.0,-2.6,-4.6,-0.4,2005,2007,4476666.666666667
4122,1.9,0.455,4.2,1.1,0.413,2.7,4.5,0.1,1.8,3.0,0.43799999999999994,6.9,1.1,0.7909999999999999,1.3,68,57,26.2,0.4,1.6,8.2,0.6,1.2,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Steve Blake2006,Steve Blake,25,POR,14.5,0.5489999999999999,0.391,0.19399999999999998,3.0,-0.2,2.8,0.076,1.2,-3.0,-1.9,0.1,2006,2007,4476666.666666667
4123,1.7,0.47200000000000003,3.7,0.8,0.322,2.5,5.0,0.1,1.8,2.5,0.41100000000000003,6.2,0.5,0.672,0.8,82,42,27.1,0.3,1.5,6.4,0.7,1.6,2.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Steve Blake2007,Steve Blake,26,TOT,9.9,0.491,0.409,0.126,1.0,1.1,2.1,0.045,-1.4,-1.5,-2.9,-0.5,2007,2007,4476666.666666667
1161,2.7,0.415,6.5,0.5,0.373,1.2,1.3,0.2,1.2,3.2,0.408,7.7,1.0,0.5539999999999999,1.8,55,27,19.8,0.7,1.3,7.8,0.3,1.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DeShawn Stevenson2005,DeShawn Stevenson,23,ORL,9.3,0.456,0.157,0.237,-0.4,0.3,-0.1,-0.006999999999999999,-2.8,-2.7,-5.5,-1.0,2005,2007,3172178.75
1162,4.4,0.466,9.3,0.0,0.133,0.2,2.0,0.2,2.2,4.4,0.46,9.5,2.2,0.7440000000000001,3.0,82,82,32.3,0.7,2.2,11.0,0.7,1.5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DeShawn Stevenson2006,DeShawn Stevenson,24,ORL,10.9,0.507,0.019,0.31,1.2,1.3,2.4,0.044000000000000004,-1.7,-0.7,-2.4,-0.3,2006,2007,3172178.75
