,2P,2P.1,2PA,3P,3P.1,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,STL,TOV,TRB,Year,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF
1363,7.1,0.601,11.8,0,0.0,0,1.3,22,2.1,10.8,7.1,0.599,11.9,6.5,0.59,10.9,82,82,37.7,3.4,3.3,20.7,Dwight Howard,0.9,3.2,14.2,2008.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,7.1,0.573,12.4,0,0.0,0,1.4,23,2.9,9.6,7.1,0.572,12.4,6.4,0.594,10.7,79,79,35.7,4.3,3.4,20.6,Dwight Howard,1,3,13.8,2009.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,6.2,0.617,10.1,0,0.0,0.1,1.8,24,2.8,9.7,6.2,0.612,10.2,5.9,0.592,10,82,82,34.7,3.5,3.5,18.3,Dwight Howard,0.9,3.3,13.2,2010.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,7.9,0.597,13.3,0,0.0,0.1,1.4,25,2.4,10.1,7.9,0.593,13.4,7,0.596,11.7,78,78,37.6,4,3.3,22.9,Dwight Howard,1.4,3.6,14.1,2011.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,7.7,0.579,13.3,0,0.0,0.1,1.9,26,2.1,10.8,7.7,0.573,13.4,5.2,0.491,10.6,54,54,38.3,3.7,2.9,20.6,Dwight Howard,1.5,3.2,14.5,2012.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,6.2,0.581,10.6,0,0.167,0.1,1.4,27,2.4,9.1,6.2,0.578,10.7,4.7,0.492,9.5,76,76,35.8,3.3,3.8,17.1,Dwight Howard,1.1,3,12.4,2013.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,6.6,0.594,11.2,0,0.286,0.1,1.8,28,1.8,8.9,6.7,0.591,11.3,4.9,0.547,9,71,71,33.7,3.3,3.4,18.3,Dwight Howard,0.8,3.2,12.2,2014.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,8,0.485,16.5,0.2,0.289,0.6,6.8,23,1.1,3.7,8.2,0.478,17.1,7.5,0.762,9.9,77,77,38.6,1.4,3,24.1,Dwyane Wade,1.6,4.2,5.2,2005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1371,9.1,0.513,17.8,0.2,0.171,1,6.7,24,0.8,4.3,9.3,0.495,18.8,8.4,0.783,10.7,75,75,38.6,1.4,2.9,27.2,Dwyane Wade,1.9,3.6,5.7,2006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1372,8.8,0.511,17.3,0.4,0.266,1.5,7.5,25,1.2,3.7,9.3,0.491,18.9,8.5,0.807,10.5,51,50,37.9,1,2.3,27.4,Dwyane Wade,2.1,4.2,4.7,2007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1373,8.2,0.485,16.9,0.4,0.286,1.5,6.9,26,0.7,3.3,8.6,0.469,18.4,6.9,0.758,9.2,51,49,38.3,0.9,2.7,24.6,Dwyane Wade,1.7,4.4,4.2,2008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1374,9.7,0.524,18.5,1.1,0.317,3.5,7.5,27,1.3,3.9,10.8,0.491,22,7.5,0.765,9.8,79,79,38.6,1.1,2.3,30.2,Dwyane Wade,2.2,3.4,5,2009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1375,8.4,0.509,16.5,0.9,0.3,3.2,6.5,28,1.1,3.5,9.3,0.476,19.6,6.9,0.761,9.1,77,77,36.3,1.4,2.4,26.6,Dwyane Wade,1.8,3.3,4.8,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1376,8.3,0.534,15.5,0.8,0.306,2.7,4.6,29,1.1,4.8,9.1,0.5,18.2,6.5,0.758,8.6,76,76,37.1,1.6,2.6,25.5,Dwyane Wade,1.5,3.1,6.4,2011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1377,8.2,0.513,15.9,0.3,0.268,1.1,4.6,30,1.3,3.3,8.5,0.497,17.1,4.8,0.791,6.1,49,49,33.2,1.5,2.2,22.1,Dwyane Wade,1.7,2.6,4.8,2012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1378,8,0.537,14.9,0.2,0.258,1,5.1,31,0.8,3.7,8.2,0.521,15.8,4.5,0.725,6.2,69,69,34.7,1.2,2,21.2,Dwyane Wade,1.9,2.8,5,2013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1379,7.5,0.557,13.5,0.2,0.281,0.6,4.7,32,0.5,3.4,7.7,0.545,14.1,3.5,0.733,4.8,54,53,32.9,1.1,2,19,Dwyane Wade,1.5,3,4.5,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1380,0.7,0.382,1.8,0.4,0.378,1.2,0.9,22,0.1,0.8,1.1,0.381,3,0.2,1,0.2,38,0,8.7,0.1,0.9,2.9,E'Twaun Moore,0.3,0.6,0.9,2012.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1381,2.3,0.424,5.3,0.9,0.34,2.6,2.7,23,0.3,1.6,3.2,0.396,8,0.6,0.797,0.8,75,21,22.4,0.6,1.6,7.8,E'Twaun Moore,0.7,1.4,2.2,2013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1382,1.7,0.468,3.7,0.7,0.354,2,1.4,24,0.2,1.4,2.5,0.428,5.8,0.7,0.765,0.9,79,3,19.1,0.4,1.3,6.3,E'Twaun Moore,0.8,0.7,1.7,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
