name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
fred jones,76,210,1,14,14,2002
jake jones,75,180,6,12,97,1971
james jones,80,218,2,20,49,2003
jimmy jones,76,188,2,1,13,1967
jumaine jones,80,218,1,27,27,1999
larry jones,74,180,5,8,43,1963
major jones,81,225,2,3,20,1976
mark jones,73,175,4,12,82,1983
nick jones,74,190,3,12,31,1967
ozell jones,83,235,4,20,90,1984
perry jones,83,235,1,28,28,2012
popeye jones,80,250,2,14,41,1992
rich jones,78,220,4,13,49,1968
sam jones,76,198,1,8,8,1956
shelton jones,81,210,2,2,27,1988
solomon jones,82,230,2,3,33,2006
terrence jones,81,252,1,18,18,2012
tyus jones,74,195,1,24,24,2015
wah wah jones,76,225,1,8,8,1949
wali jones,74,180,3,2,18,1964
wil jones,80,205,5,12,69,1969
willie jones,75,185,5,4,36,1960
adonis jordan,71,170,2,15,42,1993
deandre jordan,83,265,2,5,35,2008
eddie jordan,73,170,2,11,33,1977
jerome jordan,84,253,2,14,44,2010
michael jordan,78,195,1,3,3,1984
walter jordan,79,198,4,18,84,1978
cory joseph,75,193,1,29,29,2011
kris joseph,79,210,2,21,51,2012
yvon joseph,83,245,2,12,36,1985
kevin joyce,75,190,1,11,11,1973
butch joyner,77,200,9,5,111,1968
jeff judkins,78,185,2,8,30,1978
ed kalafat,78,245,1,9,9,1954
chris kaman,84,265,1,6,6,2003
frank kaminsky,84,242,1,9,9,2015
enes kanter,83,245,1,3,3,2011
jason kapono,80,213,2,2,31,2003
sergey karasev,79,208,1,19,19,2013
mario kasun,85,260,2,12,41,2002
bob kauffman,80,240,1,3,3,1968
sasha kaun,83,260,2,26,56,2008
clarence kea,78,218,8,9,169,1980
mike kearns,74,178,5,9,48,1951
tommy kearns,71,185,4,6,29,1958
adam keefe,81,230,1,10,10,1992
harold keeling,76,185,3,16,63,1985
bill keller,70,177,7,2,87,1969
gary keller,81,220,6,4,59,1967
rich kelley,84,235,1,7,7,1975
clark kellogg,79,225,1,8,8,1982
arvesta kelly,74,175,8,6,85,1967
ryan kelly,83,230,2,18,48,2013
greg kelser,79,190,1,4,4,1979
ben kelso,75,195,8,4,117,1972
shawn kemp,82,230,1,17,17,1989
tim kempton,82,245,6,8,124,1986
frank kendrick,78,198,3,11,47,1974
luke kennard,78,206,1,12,12,2017
goo kennedy,77,205,9,3,139,1971
joe kennedy,78,210,10,2,122,1968
pickles kennedy,71,180,2,7,15,1960
larry kenon,81,205,3,15,50,1973
red kerr,81,230,1,6,6,1954
steve kerr,75,175,2,25,50,1988
jack kerris,78,215,1,9,9,1949
jerome kersey,79,215,2,22,46,1984
tom kerwin,79,210,5,3,43,1966
alec kessler,83,230,1,12,12,1990
lari ketner,81,277,2,20,49,1999
julius keye,82,200,8,10,102,1968
randolph keys,79,195,1,22,22,1988
viktor khryapa,81,210,1,22,22,2004
jason kidd,76,205,1,2,2,1994
michael kidd-gilchrist,79,232,1,2,2,2012
jack kiley,73,170,2,4,13,1951
earnie killum,75,180,2,13,30,1970
carl kilpatrick,82,230,8,6,158,1978
toby kimball,78,220,3,9,26,1965
bo kimble,76,190,1,8,8,1990
chad kinch,76,190,1,22,22,1980
albert king,78,190,1,10,10,1981
bernard king,79,205,1,7,7,1977
chris king,80,215,2,18,45,1992
frankie king,73,185,2,8,37,1995
jim king,74,175,2,5,13,1963
jimmy king,77,210,2,6,35,1995
loyd king,74,180,15,8,224,1971
maurice king,74,195,6,8,48,1957
reggie king,78,225,1,18,18,1979
rich king,86,260,1,14,14,1991
ron king,76,185,4,11,63,1973
stacey king,83,230,1,6,6,1989
andrei kirilenko,81,220,1,24,24,1999
jim kissane,79,210,5,5,55,1968
doug kistler,81,210,3,3,26,1961
curtis kitchen,81,235,6,6,122,1986
greg kite,83,250,1,21,21,1983
kerry kittles,77,179,1,8,8,1996
joe kleine,83,255,1,6,6,1985
linas kleiza,80,245,1,27,27,2005
lonnie kluttz,79,220,6,11,96,1970
billy knight,78,195,2,3,21,1974
brandon knight,75,189,1,8,8,2011
brevin knight,70,173,1,16,16,1997
negele knight,73,175,2,4,31,1990
ron knight,79,215,5,8,76,1970
toby knight,81,210,2,10,32,1977
travis knight,84,235,1,29,29,1996
rod knowles,81,215,6,13,77,1968
bart kofoed,76,210,5,15,107,1987
don kojis,77,215,2,12,21,1961
howard komives,73,185,2,6,13,1964
jon koncak,84,250,1,5,5,1985
tom kondla,80,225,7,13,91,1968
bud koper,78,210,2,7,14,1964
joe kopicki,81,240,3,10,56,1982
furkan korkmaz,79,185,1,26,26,2016
frank kornet,81,225,2,3,30,1989
yaroslav korolev,81,203,1,12,12,2005
kyle korver,79,212,2,22,51,2003
len kosmalski,84,245,2,6,24,1974
kosta koufos,84,265,1,23,23,2008
tom kozelko,80,220,3,13,48,1973
ronald kozlicki,79,215,4,10,41,1967
arvid kramer,81,220,3,1,45,1979
barry kramer,76,200,1,6,6,1964
joel kramer,79,203,3,19,63,1978
jim krebs,80,230,1,3,3,1957
wayne kreklow,76,175,3,9,53,1979
tommy kron,77,200,3,4,24,1966
tom kropp,75,205,3,12,48,1975
nenad krstic,84,240,1,24,24,2002
larry krystkowiak,81,220,2,4,28,1986
steve kuberski,80,215,4,9,52,1969
bruce kuczenski,82,230,3,12,59,1983
john kuester,74,180,3,9,53,1977
toni kukoc,82,192,2,2,29,1990
kevin kunnert,84,230,1,12,12,1973
terry kunze,76,210,7,5,58,1965
mitch kupchak,81,230,1,13,13,1976
c.j. kupec,78,220,4,2,56,1975
kyle kuzma,81,220,1,27,27,2017
ognjen kuzmic,85,251,2,22,52,2012
skal labissiere,83,225,1,28,28,2016
reggie lacefield,77,230,12,8,155,1968
sam lacey,82,235,1,5,5,1970
bob lackey,77,200,5,8,71,1972
fred lacour,77,210,3,6,22,1960
christian laettner,83,235,1,3,3,1992
raef lafrentz,83,240,1,3,3,1998
tom lagarde,82,220,1,9,9,1977
bill laimbeer,83,245,3,21,65,1979
bo lamar,73,180,3,9,44,1973
doron lamb,76,210,2,12,42,2012
jeremy lamb,77,185,1,12,12,2012
john lambert,82,225,1,15,15,1975
jeff lamp,78,195,1,15,15,1981
maciej lampe,83,275,2,1,30,2003
jim lampley,82,230,5,9,102,1983
sean lampley,79,227,2,16,45,2001
carl landry,81,248,2,1,31,2007
mark landsberger,80,215,2,13,35,1977
jerome lane,78,230,1,23,23,1988
andrew lang,83,245,2,3,28,1988
antonio lang,80,205,2,2,29,1994
james lang,82,285,2,19,48,2003
trajan langdon,75,197,1,11,11,1999
dan langhi,83,220,2,2,31,2000
bob lanier,83,250,1,1,1,1970
stu lantz,75,175,3,1,23,1968
york larese,76,183,6,6,46,1960
shane larkin,71,175,1,18,18,2013
rudy larusso,79,220,2,4,10,1959
john laskowski,78,185,2,14,32,1975
stephane lasme,80,215,2,16,46,2007
dave lattin,78,225,1,10,10,1967
priest lauderdale,88,325,1,28,28,1996
harry laurie,73,178,8,6,98,1968
joffrey lauvergne,83,220,2,25,55,2013
tony lavelli,75,185,1,4,4,1949
zach lavine,77,189,1,13,13,2014
bob lavoy,79,185,1,8,8,1950
acie law,75,195,1,11,11,2007
gani lawal,81,234,2,16,46,2010
edmund lawrence,84,228,5,16,84,1976
jason lawson,83,240,2,13,41,1997
ty lawson,71,195,1,18,18,2009
jake layman,81,210,2,17,47,2016
mo layton,73,180,3,13,48,1971
t.j. leaf,82,222,1,18,18,2017
manny leaks,80,225,2,6,20,1968
hal lear,72,163,1,7,7,1956
allen leavell,73,170,5,16,104,1979
eric leckner,83,265,1,17,17,1988
ricky ledo,79,195,2,13,43,2013
butch lee,72,185,1,10,10,1978
clyde lee,82,205,1,3,3,1966
courtney lee,77,200,1,22,22,2008
david lee,81,245,1,30,30,2005
doug lee,77,200,2,12,35,1987
george lee,76,200,4,2,24,1959
greg lee,75,190,7,7,115,1974
keith lee,82,215,1,11,11,1985
malcolm lee,77,200,2,13,43,2011
ron lee,76,193,1,10,10,1976
russ lee,77,185,1,6,6,1972
alex len,85,260,1,5,5,2013
voshon lenard,76,205,2,19,46,1994
gary leonard,85,250,2,7,34,1989
kawhi leonard,79,230,1,15,15,2011
meyers leonard,85,245,1,11,11,2012
slick leonard,75,185,2,1,10,1954
jim les,71,165,3,23,70,1986
travis leslie,76,205,2,17,47,2011
ronnie lester,74,175,1,10,10,1980
jon leuer,82,228,2,10,40,2011
fat lever,75,170,1,11,11,1982
caris levert,79,203,1,20,20,2016
cliff levingston,80,210,1,9,9,1982
bobby lewis,75,175,4,8,39,1967
freddie lewis,72,175,10,4,88,1966
martin lewis,77,210,2,21,50,1995
mike lewis,80,225,7,10,88,1968
quincy lewis,79,215,1,19,19,1999
ralph lewis,78,200,6,23,139,1985
rashard lewis,82,215,2,3,32,1998
reggie lewis,79,195,1,22,22,1987
marcus liberty,80,205,2,15,42,1990
todd lichti,76,205,1,15,15,1989
deandre liggins,78,209,2,23,53,2011
bill ligon,76,180,10,15,175,1974
damian lillard,75,195,1,6,6,2012
steve lingenfelter,81,225,2,21,44,1981
alton lister,84,240,1,21,21,1981
gene littles,72,160,5,11,68,1969
randy livingston,76,209,2,13,42,1996
shaun livingston,79,192,1,4,4,2004
ron livingstone,82,220,1,6,6,1949
bobby lloyd,74,184,7,2,69,1967
chuck lloyd,80,220,10,6,159,1970
lewis lloyd,78,205,4,7,76,1981
scott lloyd,82,230,2,7,24,1976
bob lochmueller,77,185,1,7,7,1952
rob lock,81,225,3,1,51,1988
darrell lockhart,81,245,2,11,35,1983
kevin loder,78,205,1,17,17,1981
don lofgran,77,200,1,11,11,1950
henry logan,72,180,4,2,38,1968
brad lohaus,83,230,2,22,45,1987
grant long,80,225,2,8,33,1988
john long,77,195,2,7,29,1978
paul long,74,180,15,1,106,1966
willie long,80,225,2,18,35,1971
luc longley,86,265,1,7,7,1991
kevon looney,81,220,1,30,30,2015
brook lopez,84,275,1,10,10,2008
felipe lopez,77,199,1,24,24,1998
raul lopez,73,170,1,24,24,2001
robin lopez,84,255,1,15,15,2008
jim loscutoff,77,220,1,3,3,1955
plummer lott,77,210,5,11,54,1967
kevin loughery,75,190,11,1,92,1961
bob love,80,215,4,7,33,1965
kevin love,82,251,1,5,5,2008
stan love,81,215,1,9,9,1971
clyde lovellette,81,234,1,9,9,1952
sidney lowe,72,195,2,1,25,1983
charlie lowery,75,185,8,6,125,1971
kyle lowry,72,205,1,24,24,2006
john lucas,75,175,1,1,1,1976
maurice lucas,81,215,1,14,14,1974
ted luckenbill,78,205,2,6,15,1961
tyronn lue,72,175,1,23,23,1998
jim luisi,74,180,6,7,56,1951
phil lumpkin,72,165,2,16,34,1974
timothe luwawu-cabarrot,78,205,1,24,24,2016
tyler lydon,82,215,1,24,24,2017
trey lyles,82,234,1,12,12,2015
r.b. lynam,73,190,11,4,95,1966
george lynch,80,218,1,12,12,1993
kevin lynch,77,195,2,1,28,1991
lonnie lynn,79,215,12,2,99,1966
mike lynn,79,215,5,8,51,1967
mike macaluso,77,210,6,2,88,1973
todd macculloch,84,280,2,18,47,1999
ollie mack,75,185,2,3,25,1979
shelvin mack,75,203,2,4,34,2011
malcolm mackey,81,248,1,27,27,1993
rudy macklin,79,205,3,6,52,1981
vernon macklin,82,227,2,22,52,2011
don maclean,82,235,1,19,19,1992
mark macon,77,185,1,8,8,1991
kyle macy,75,175,1,22,22,1979
tito maddox,76,190,2,9,38,2002
mark madsen,81,240,1,29,29,2000
corey maggette,78,218,1,13,13,1999
dave magley,80,202,2,5,28,1982
jamaal magloire,83,259,1,19,19,2000
randolph mahaffey,79,210,2,4,16,1967
ian mahinmi,83,250,1,28,28,2005
brian mahoney,75,175,5,1,69,1971
rick mahorn,82,240,2,12,35,1980
dan majerle,78,215,1,14,14,1988
thon maker,85,216,1,10,10,2016
jeff malone,76,205,1,10,10,1983
karl malone,81,250,1,13,13,1985
steve malovic,82,230,7,18,149,1978
mike maloy,79,215,10,4,157,1970
ted manakas,74,180,3,1,36,1973
danny manning,82,230,1,1,1,1988
ed manning,79,210,8,1,80,1967
guy manning,78,195,10,3,87,1966
rich manning,83,253,2,13,40,1993
pace mannion,79,190,2,19,43,1983
nick mantis,75,190,5,7,37,1959
pete maravich,77,197,1,3,3,1970
devyn marble,78,200,2,26,56,2014
roy marble,78,190,1,23,23,1989
stephon marbury,74,180,1,4,4,1996
sarunas marciulionis,77,200,6,13,127,1987
jack marin,79,200,1,5,5,1966
shawn marion,79,220,1,9,9,1999
lauri markkanen,84,230,1,7,7,2017
damir markota,82,225,2,29,59,2006
sean marks,82,250,2,15,44,1998
jim marsh,79,215,11,2,136,1968
ricky marsh,75,200,8,16,165,1977
donny marshall,79,230,2,10,39,1995
donyell marshall,81,218,1,4,4,1994
kendall marshall,76,200,1,13,13,2012
tom marshall,76,215,1,7,7,1954
bill martin,79,205,2,2,26,1985
brian martin,81,212,9,1,185,1984
cuonzo martin,77,213,2,28,57,1995
fernando martin,81,220,2,14,38,1985
jarell martin,82,239,1,25,25,2015
jeff martin,77,195,2,4,31,1989
kenyon martin,81,234,1,1,1,2000
kevin martin,79,199,1,26,26,2004
larue martin,83,208,1,1,1,1972
maurice martin,78,200,1,16,16,1986
phil martin,75,190,4,2,29,1954
whitey martin,74,185,2,1,10,1961
jamal mashburn,80,240,1,4,4,1993
anthony mason,79,250,3,3,53,1988
desmond mason,79,224,1,17,17,2000
frank mason iii,72,189,2,4,34,2017
roger mason,77,200,2,2,31,2002
tony massenburg,81,220,2,16,43,1990
eddie mast,81,220,3,11,40,1969
wes matthews,73,170,1,14,14,1980
marlon maxey,80,250,2,1,28,1992
jason maxiell,79,260,1,26,26,2005
cedric maxwell,80,205,1,12,12,1977
vernon maxwell,76,180,2,22,47,1988
don may,76,200,3,8,30,1968
scott may,79,215,1,2,2,1976
sean may,81,266,1,13,13,2005
lee mayberry,73,172,1,23,23,1992
clyde mayes,80,225,2,4,22,1975
ken mayfield,74,185,3,15,50,1971
eric maynor,75,175,1,20,20,2009
o.j. mayo,77,210,1,3,3,2008
travis mays,74,190,1,14,14,1990
luc mbah a moute,80,230,2,7,37,2008
bob mcadoo,81,210,1,2,2,1972
ray mccallum,75,190,2,6,36,2013
bob mccann,78,244,2,9,32,1987
brendan mccann,74,178,1,5,5,1957
rashad mccants,76,207,1,14,14,2005
andre mccarter,75,190,8,10,136,1975
willie mccarter,75,175,1,12,12,1969
walter mccarty,82,230,1,19,19,1996
amal mccaskill,83,235,2,20,49,1996
patrick mccaw,79,185,2,8,38,2016
dwayne mcclain,78,185,2,3,27,1985
ted mcclain,73,180,2,5,22,1971
dan mcclintock,84,270,2,24,53,2000
george mccloud,78,205,1,7,7,1989
c.j. mccollum,75,190,1,10,10,2013
john mcconathy,77,195,1,5,5,1951
keith mccord,79,210,10,14,198,1979
tim mccormick,83,240,1,12,12,1984
jelani mccoy,82,245,2,4,33,1998
rodney mccray,79,220,1,3,3,1983
scooter mccray,81,215,2,12,36,1983
chris mccullough,83,200,1,29,29,2015
john mccullough,76,190,4,19,85,1979
xavier mcdaniel,79,205,1,4,4,1985
jim mcdaniels,83,228,2,6,23,1971
k.j. mcdaniels,78,205,2,2,32,2014
doug mcdermott,80,225,1,11,11,2014
ben mcdonald,80,210,3,3,50,1984
glenn mcdonald,78,190,1,17,17,1974
michael mcdonald,82,232,2,26,55,1995
roderick mcdonald,78,205,9,10,101,1967
hank mcdowell,81,215,5,10,102,1981
antonio mcdyess,81,220,1,2,2,1995
jim mcelroy,75,190,3,2,38,1975
patrick mcfarland,77,185,2,10,28,1973
mitch mcgary,82,255,1,21,21,2014
javale mcgee,84,270,1,18,18,2008
mike mcgee,77,190,1,19,19,1981
bill mcgill,81,225,1,1,1,1962
george mcginnis,80,235,2,4,22,1973
jon mcglocklin,77,205,3,7,24,1965
tracy mcgrady,80,210,1,9,9,1997
gil mcgregor,80,240,6,4,89,1971
elton mcgriff,81,225,12,4,90,1965
alfred mcguire,74,180,6,6,55,1951
allie mcguire,75,175,3,14,49,1973
dick mcguire,72,180,1,7,7,1949
dominic mcguire,81,220,2,17,47,2007
kevin mchale,82,210,1,3,3,1980
maurice mchartley,75,185,7,6,58,1964
jim mcilvaine,85,240,2,5,32,1994
jeff mcinnis,76,190,2,8,37,1996
kenny mcintosh,79,225,1,15,15,1971
bob mcintyre,78,215,4,4,34,1966
kevin mckenna,77,195,4,19,88,1981
forrest mckenzie,79,200,3,1,48,1986
stan mckenzie,77,195,11,3,94,1966
derrick mckey,81,205,1,9,9,1987
aaron mckie,77,209,1,17,17,1994
billy mckinney,72,160,6,5,115,1977
ben mclemore,77,195,1,7,7,2013
mccoy mclemore,79,230,3,7,23,1964
roshown mcleod,80,221,1,20,20,1998
nate mcmillan,77,195,2,6,30,1986
tom mcmillen,83,215,1,9,9,1974
jim mcmillian,77,215,1,13,13,1970
shellie mcmillon,77,205,6,3,42,1958
mark mcnamara,83,235,1,22,22,1982
joe mcnamee,78,210,1,9,9,1950
chris mcnealy,79,210,2,14,38,1983
bob mcneill,73,170,3,3,19,1960
larry mcneill,81,195,2,7,25,1973
roy mcpipe,75,205,8,16,136,1973
cozell mcqueen,83,235,4,21,91,1985
jordan mcrae,78,185,2,28,58,2014
thales mcreynolds,75,185,11,2,82,1965
josh mcroberts,82,240,2,7,37,2007
eric mcwilliams,80,200,3,7,37,1972
darnell mee,77,175,2,7,34,1993
jodie meeks,76,210,2,11,41,2009
cliff meely,80,215,1,7,7,1971
scott meents,82,225,4,4,74,1986
bill melchionni,73,165,2,9,19,1966
gary melchionni,74,185,2,15,33,1973
fab melo,84,255,1,22,22,2012
dean meminger,72,175,1,16,16,1971
chuck mencel,72,168,2,6,12,1955
john mengelt,74,195,2,4,21,1971
ron mercer,79,210,1,6,6,1997
joe meriweather,82,215,1,11,11,1975
porter meriwether,74,180,3,5,21,1962
tom meschery,78,215,1,7,7,1961
bill meyer,75,195,11,1,81,1965
loren meyer,82,257,1,24,24,1995
dave meyers,80,215,1,2,2,1975
larry micheaux,81,220,2,5,29,1983
jordan mickey,80,235,2,3,33,2015
khris middleton,80,234,2,9,39,2012
chris mihm,84,265,1,7,7,2000
ed mikan,80,230,1,5,5,1948
larry mikan,79,210,4,13,64,1970
c.j. miles,78,225,2,4,34,2005
darius miles,81,210,1,3,3,2000
eddie miles,76,195,1,4,4,1963
marko milic,78,235,2,5,33,1997
darko milicic,84,250,1,2,2,2003
andre miller,75,200,1,8,8,1999
anthony miller,81,225,2,12,39,1994
bob miller,82,230,4,19,85,1978
darius miller,80,235,2,16,46,2012
dick miller,78,215,2,17,40,1980
larry miller,76,190,5,12,62,1968
mike miller,80,218,1,5,5,2000
oliver miller,81,280,1,22,22,1992
quincy miller,81,210,2,8,38,2012
reggie miller,79,185,1,11,11,1987
chris mills,78,215,1,22,22,1993
patty mills,72,185,2,25,55,2009
terry mills,82,230,1,16,16,1990
paul millsap,80,246,2,17,47,2006
harold miner,77,210,1,12,12,1992
yao ming,90,310,1,1,1,2002
dirk minniefield,75,180,2,9,33,1983
greg minor,78,210,1,25,25,1994
mark minor,78,215,11,9,165,1972
nikola mirotic,82,220,1,23,23,2011
donovan mitchell,75,211,1,13,13,2017
leland mitchell,76,210,2,6,14,1963
mike mitchell,79,215,1,15,15,1978
sam mitchell,78,210,3,7,54,1985
todd mitchell,79,205,2,18,43,1988
tony mitchell,80,235,2,7,37,2013
steve mix,79,215,5,4,61,1969
cuttino mobley,76,190,2,12,41,1998
eric mobley,83,235,1,18,18,1994
doug moe,77,215,7,4,52,1960
larry moffett,80,210,2,12,34,1977
nazr mohammed,82,221,1,29,29,1998
jerome moiso,82,235,1,11,11,2000
paul mokeski,84,250,2,20,42,1979
jack molinas,78,200,1,3,3,1953
wayne molis,80,230,10,1,75,1965
sidney moncrief,75,180,1,5,5,1979
eric money,72,170,2,15,33,1974
sergei monia,80,220,1,23,23,2004
malik monk,75,200,1,11,11,2017
earl monroe,75,185,1,2,2,1967
greg monroe,83,265,1,7,7,2010
rodney monroe,75,185,2,3,30,1991
howie montgomery,77,220,7,7,59,1962
eric montross,84,270,1,9,9,1994
andre moore,81,215,2,8,31,1987
e'twaun moore,76,191,2,25,55,2011
gene moore,81,225,2,8,22,1968
johnny moore,73,175,2,21,43,1979
lowes moore,73,170,3,6,52,1980
otto moore,83,205,1,6,6,1968
richard moore,74,190,10,1,85,1966
ron moore,84,260,2,2,25,1987
jackie moreland,79,215,1,4,4,1960
guy morgan,80,205,2,17,40,1982
rex morgan,77,190,2,4,21,1970
darren morningstar,82,235,2,20,47,1992
chris morris,80,210,1,4,4,1988
darius morris,76,190,2,11,41,2011
isaiah morris,80,229,2,10,37,1992
marcus morris,81,235,1,14,14,2011
markieff morris,82,245,1,13,13,2011
monte morris,75,175,2,21,51,2017
terence morris,81,221,2,5,34,2001
adam morrison,80,205,1,3,3,2006
john morrison,74,190,6,6,61,1967
mike morrison,76,195,2,24,51,1989
red morrison,80,220,2,5,14,1954
dwayne morton,79,195,2,18,45,1994
john morton,75,180,1,25,25,1989
glenn mosley,80,195,1,20,20,1977
perry moss,74,185,3,23,69,1982
lawrence moten,77,185,2,7,36,1995
donatas motiejunas,84,222,1,20,20,2011
hanno mottola,83,247,2,11,40,2000
arnett moultrie,83,249,1,27,27,2012
rick mount,75,175,8,13,132,1970
alonzo mourning,82,240,1,2,2,1992
emmanuel mudiay,77,200,1,7,7,2015
erwin mueller,80,230,2,10,20,1966
shabazz muhammad,78,223,1,14,14,2013
byron mullens,84,275,1,24,24,2009
chris mullin,78,200,1,7,7,1985
jeff mullins,76,190,1,5,5,1964
eric murdock,73,190,1,21,21,1991
gheorghe muresan,91,303,2,3,30,1993
allen murphy,77,190,2,17,35,1975
calvin murphy,69,165,2,1,18,1970
erik murphy,82,230,2,19,49,2013
jay murphy,81,220,2,7,31,1984
kevin murphy,77,185,2,17,47,2012
ronnie murphy,77,225,1,17,17,1987
tod murphy,81,220,3,6,53,1986
troy murphy,83,245,1,14,14,2001
dejounte murray,77,170,1,29,29,2016
jamal murray,76,207,1,7,7,2016
lamond murray,79,236,1,7,7,1994
ronald murray,76,190,2,13,42,2002
tracy murray,79,225,1,18,18,1992
willie murrell,78,225,4,6,31,1964
dorie murrey,80,215,2,2,12,1966
mike muscala,83,240,2,14,44,2013
jerrod mustaf,82,238,1,17,17,1990
dikembe mutombo,86,245,1,4,4,1991
martin muursepp,81,235,1,25,25,1996
pete myers,78,180,6,4,120,1986
hamady n'diaye,84,235,2,26,56,2010
mamadou n'diaye,84,255,1,26,26,2000
boris nachamkin,78,210,2,7,16,1954
bostjan nachbar,81,221,1,15,15,2002
abdel nader,78,230,2,28,58,2016
lee nailon,81,238,2,14,43,1999
eduardo najera,80,240,2,9,38,2000
larry nance,82,205,1,20,20,1981
larry nance jr.,81,230,1,27,27,2015
shabazz napier,73,175,1,24,24,2014
bob nash,80,195,1,9,9,1972
cotton nash,77,215,2,5,12,1964
steve nash,75,195,1,15,15,1996
swen nater,83,240,1,16,16,1973
calvin natt,78,220,1,8,8,1979
kenny natt,75,185,2,7,30,1980
juan carlos navarro,75,170,2,11,40,2002
craig neal,77,165,3,21,71,1988
jim neal,83,235,1,6,6,1953
lloyd neal,79,225,3,1,31,1972
ed nealy,79,238,8,5,166,1982
nemanja nedovic,75,192,1,30,30,2013
barry nelson,82,230,5,17,85,1971
don nelson,78,210,3,1,17,1962
jameer nelson,72,190,1,20,20,2004
louie nelson,75,190,2,1,19,1973
ron nelson,74,175,3,4,26,1968
dick nemelka,72,175,5,4,44,1966
martin nessley,86,260,6,2,116,1987
rasho nesterovic,84,248,1,17,17,1998
raul neto,73,179,2,17,47,2013
bob netolicky,81,220,2,6,18,1967
johnny neumann,78,200,6,12,98,1973
paul neumann,73,175,4,5,27,1959
chuck nevitt,89,217,3,17,63,1982
mike newlin,76,200,2,7,24,1971
johnny newman,79,190,2,5,29,1986
dave newmark,84,240,3,9,31,1968
georges niang,80,230,2,20,50,2016
demetris nichols,80,216,2,23,53,2007
jack nichols,79,222,1,12,12,1948
andrew nicholson,81,250,1,19,19,2012
gaylon nickerson,75,190,2,7,34,1994
carl nicks,73,175,1,23,23,1980
rich niemann,84,245,4,6,42,1968
mike niles,78,225,4,17,83,1979
kurt nimphius,82,218,3,1,47,1980
dyron nix,79,210,2,2,29,1989
norm nixon,74,170,1,22,22,1977
joakim noah,83,230,1,9,9,2007
chuck noble,76,190,4,3,30,1954
david noel,78,230,2,9,39,2006
nerlens noel,83,228,1,6,6,2013
lucas nogueira,84,241,1,16,16,2013
jeff nordgaard,79,225,2,24,53,1996
bevo nordmann,82,225,3,2,25,1961
connie norman,75,175,3,1,37,1974
ken norman,80,215,1,19,19,1987
audie norris,81,230,2,14,37,1982
moochie norris,73,175,2,4,33,1996
sylvester norris,83,220,3,19,63,1979
willie norwood,79,220,2,4,19,1969
steve novak,82,225,2,2,32,2006
mel nowell,74,170,12,1,90,1962
dirk nowitzki,84,245,1,9,9,1998
frank ntilikina,77,190,1,8,8,2017
jusuf nurkic,84,280,1,16,16,2014
charles o'bannon,77,209,2,3,31,1997
ed o'bannon,80,222,1,9,9,1995
jim o'brien,79,200,3,2,37,1973
jimmy o'brien,73,170,4,2,53,1971
johnny o'bryant,81,257,2,6,36,2014
patrick o'bryant,84,260,1,9,9,2006
fran o'hanlon,73,175,8,12,131,1970
dick o'keefe,74,185,1,9,9,1947
mike o'koren,79,207,1,6,6,1980
grady o'malley,77,205,19,3,214,1969
jermaine o'neal,83,226,1,17,17,1996
shaquille o'neal,85,325,1,1,1,1992
kyle o'quinn,82,250,2,19,49,2012
kevin o'shea,74,175,1,10,10,1950
charles oakley,80,225,1,9,9,1985
greg oden,84,250,1,1,1,2007
lamar odom,82,220,1,4,4,1999
bud ogden,78,215,13,2,162,1968
ralph ogden,77,205,4,2,53,1970
don ohl,75,190,5,5,36,1958
semi ojeleye,79,241,2,7,37,2017
emeka okafor,82,252,1,2,2,2004
jahlil okafor,83,275,1,3,3,2015
mehmet okur,83,249,2,9,38,2001
victor oladipo,76,210,1,2,2,2013
hakeem olajuwon,84,255,1,1,1,1984
jawann oldham,84,215,2,18,41,1980
frank oleynick,74,185,1,12,12,1975
john olive,79,210,8,20,168,1977
brian oliver,76,210,2,5,32,1990
jimmy oliver,77,205,2,12,39,1991
michael olowokandi,84,269,1,1,1,1998
bud olsen,80,220,2,6,13,1962
kelly olynyk,84,238,1,13,13,2013
chinanu onuaku,82,245,2,7,37,2016
barry orms,75,190,8,4,96,1968
louis orr,80,175,2,6,29,1980
jose ortiz,82,225,1,15,15,1987
daniel orton,82,255,1,29,29,2010
chuck osborne,78,210,3,5,28,1961
cedi osman,80,210,2,1,31,2015
greg ostertag,86,280,1,28,28,1995
kelly oubre jr.,79,205,1,15,15,2015
travis outlaw,81,210,1,23,23,2003
doug overton,75,190,2,13,40,1991
billy owens,80,220,1,3,3,1991
chris owens,79,245,2,19,48,2002
eddie owens,79,210,2,9,31,1977
jim owens,77,200,8,8,128,1973
tom owens,82,215,4,7,58,1971
olumide oyedeji,82,240,2,13,42,2000
joe pace,82,220,5,4,76,1975
zaza pachulia,83,270,2,13,42,2003
gerald paddio,79,205,3,24,74,1988
scott padgett,81,240,1,28,28,1999
dana pagett,74,180,11,10,178,1971
marcus paige,73,175,2,25,55,2016
togo palazzi,76,205,1,5,5,1954
jim palmer,80,224,2,4,12,1957
walter palmer,85,215,2,6,33,1990
georgios papagiannis,85,240,1,13,13,2016
kostas papanikolaou,80,225,2,18,48,2012
robert parish,84,230,1,8,8,1976
anthony parker,78,215,1,21,21,1997
jabari parker,80,250,1,2,2,2014
sonny parker,78,200,1,17,17,1976
tony parker,74,185,1,28,28,2001
barry parkhill,76,185,1,15,15,1973
