name,height,weight,pick_round,pick_in_round,pick_overall,draft_year
craig brackins,82,230,1,21,21,2010
gary bradds,80,210,1,3,3,1964
alex bradley,78,215,4,17,86,1981
alonzo bradley,78,190,2,7,29,1977
avery bradley,74,180,1,19,19,2010
charles bradley,77,215,1,23,23,1981
dudley bradley,78,195,1,13,13,1979
jim bradley,80,215,3,12,48,1974
michael bradley,82,245,1,17,17,2001
shawn bradley,90,235,1,2,2,1993
tony bradley,83,240,1,28,28,2017
torraye braggs,80,245,2,28,57,1998
a.j. bramlett,82,227,2,10,39,1999
adrian branch,79,185,2,22,46,1985
elton brand,80,275,1,1,1,1999
terrell brandon,71,180,1,11,11,1991
brad branson,82,220,2,22,45,1980
jesse branson,79,195,2,5,13,1965
mike bratz,74,185,3,22,66,1977
pete brennan,78,205,1,4,4,1958
tom brennan,75,195,8,5,60,1952
randy breuer,87,230,1,18,18,1983
corey brewer,81,186,1,7,7,2007
jamison brewer,76,184,2,12,41,2001
jim brewer,81,210,1,2,2,1973
ron brewer,76,180,1,7,7,1978
ronnie brewer,79,220,1,14,14,2006
primoz brezec,86,252,1,27,27,2000
frank brickowski,81,240,3,11,57,1981
junior bridgeman,77,210,1,8,8,1975
bill bridges,78,228,3,9,32,1961
allan bristow,79,210,2,3,21,1973
wayman britt,74,185,4,9,60,1976
mike brittain,84,235,2,5,29,1985
dave britton,76,180,3,11,57,1980
jon brockman,79,255,2,8,38,2009
malcolm brogdon,77,215,2,6,36,2016
gary brokaw,76,178,1,18,18,1974
clarence brookins,76,190,9,12,118,1968
aaron brooks,72,161,1,26,26,2007
dillon brooks,78,220,2,15,45,2017
kevin brooks,78,200,1,18,18,1991
marshon brooks,77,200,1,25,25,2011
michael brooks,79,220,1,9,9,1980
anthony brown,79,210,2,4,34,2015
chucky brown,79,214,2,16,43,1989
damone brown,81,200,2,8,37,2001
dee brown,72,185,2,16,46,2006
derrick brown,79,225,2,10,40,2009
ernest brown,84,244,2,23,52,2000
fred brown,75,182,1,6,6,1971
george brown,78,190,4,3,27,1957
jaylen brown,79,225,1,3,3,2016
john brown,79,220,1,10,10,1973
kedrick brown,79,222,1,11,11,2001
kwame brown,83,270,1,1,1,2001
larry brown,69,160,7,2,55,1963
lewis brown,83,225,4,3,69,1977
lorenzo brown,77,189,2,22,52,2013
marcus brown,75,185,2,17,46,1996
markel brown,75,190,2,14,44,2014
mike brown,81,257,3,22,69,1985
myron brown,75,180,2,7,34,1991
p.j. brown,83,225,2,2,29,1992
randy brown,74,190,2,4,31,1991
rickey brown,82,215,1,13,13,1980
roger brown,83,225,4,13,64,1971
shannon brown,76,205,1,25,25,2006
sterling brown,77,225,2,16,46,2017
tony brown,78,185,4,13,82,1982
stanley brundy,78,210,2,5,32,1989
brian brunkhorst,78,208,6,8,72,1968
em bryant,73,175,7,1,53,1964
joe bryant,81,185,1,14,14,1975
kobe bryant,78,212,1,13,13,1996
mark bryant,81,245,1,21,21,1988
thomas bryant,82,248,2,12,42,2017
wallace bryant,84,245,2,7,30,1982
george bucci,75,200,3,16,52,1975
joe buckhalter,79,210,12,4,81,1958
cleveland buckner,81,210,6,1,51,1961
greg buckner,76,210,2,24,53,1998
quinn buckner,75,190,1,7,7,1976
dave budd,78,205,2,2,10,1960
chase budinger,79,209,2,14,44,2009
walt budko,77,220,1,6,6,1948
jud buechler,78,220,2,11,38,1990
rodney buford,77,189,2,24,53,1999
reggie bullock,79,205,1,25,25,2013
larry bunce,84,240,4,12,43,1967
greg bunch,78,190,2,12,34,1978
bill bunting,80,200,2,11,26,1969
ticky burden,74,185,2,8,26,1975
trey burke,73,191,1,9,9,2013
roger burkman,77,175,6,15,130,1981
alec burks,78,214,1,12,12,2011
antonio burks,73,200,2,7,36,2004
tom burleson,86,225,1,3,3,1974
david burns,74,180,3,3,49,1981
evers burns,80,260,2,4,31,1993
jim burns,75,195,4,3,34,1967
scott burrell,79,218,1,20,20,1993
